Time (sec),Temperature (C),dT/dt (C/sec),h=-mcpdT/dt / A(T-Tw) (W/m2K),m (kg),cp (J/kg),Tw,rho (kg/m3),r (m),pi,V (m3),A (m2),q''=h(T-Tw) (W/m2),Te=T-Tw,ln(Te),ln(q)
12.30,561.0176,-1.5067,166.353190079852,,,,,,,,,76691.7468640759,461.017590508861,6.13343619955471,11.2475493787506
12.32,560.9880,-1.3380,147.741371898134,,,,,,,,,68107.0024537703,460.988019664047,6.1333720549454,11.1288353128979
12.34,560.9641,-1.3277,146.602049273844,,,,,,,,,67578.2771177275,460.96406873205,6.13332009794611,11.1210418659766
12.36,560.9349,-1.5343,169.433208640558,,,,,,,,,78097.6813493086,460.934913385179,6.13325684731356,11.265715647158
12.38,560.9027,-1.5746,173.897032733817,,,,,,,,,80149.6111780322,460.902695796522,6.13318694869292,11.2916503068473
12.40,560.8719,-1.5313,169.118701840544,,,,,,,,,77942.0621686283,460.871927943941,6.13312019082868,11.2637210369546
12.42,560.8414,-1.4838,163.890517253396,,,,,,,,,75527.5428181037,460.841445154073,6.13305404707778,11.2322526742496
12.44,560.8126,-1.4254,157.446456503959,,,,,,,,,72553.3070064732,460.812574747586,6.1329913979581,11.1920768397197
12.46,560.7844,-1.3955,154.149905961139,,,,,,,,,71029.8764381817,460.78442925608,6.13293031813385,11.1708558624181
12.48,560.7568,-1.5280,168.800930457258,,,,,,,,,77776.1691331792,460.756756035021,6.13287025956782,11.261590353902
12.50,560.7233,-1.6609,183.492084899533,,,,,,,,,84539.0805266258,460.723308980403,6.13279766536659,11.3449691978684
12.52,560.6903,-1.3822,152.717464950159,,,,,,,,,70355.4579710339,460.690321136454,6.13272606268374,11.1613156426324
12.54,560.6680,-1.3052,144.213124816822,,,,,,,,,66434.3747046561,460.66802025849,6.13267765398766,11.1039698928438
12.56,560.6381,-1.2799,141.432444166645,,,,,,,,,65149.1743098352,460.638113791432,6.13261273209913,11.084434908794
12.58,560.6168,-1.3405,148.127852935291,,,,,,,,,68230.1809999938,460.616822886103,6.13256651057133,11.1306422825979
12.60,560.5845,-1.5746,174.016195005848,,,,,,,,,80149.1613359967,460.584495214961,6.13249632467272,11.2916446943023
12.62,560.5538,-1.5054,166.371843551252,,,,,,,,,76623.1910491197,460.553837798373,6.13242976047601,11.246655065118
12.64,560.5243,-1.5207,168.080518552259,,,,,,,,,77405.1599572654,460.524281005231,6.13236558178682,11.2568087234703
12.66,560.4930,-1.4112,155.980987552187,,,,,,,,,71828.1543171222,460.493009079651,6.13229767442845,11.1820317995852
